dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction ,release tokens,release documents,release length,token reduction,document reduction
finepdfs-edu-1.0.0,lvs_Latn,2222400000,3.991,556807151,58471,9522.8,556807151,58471,9522.8,1.000,1.000,556021047,58446,9513.4,0.999,1.000
finepdfs-edu-1.0.0,mkd_Cyrl,1061400000,3.992,265851572,18262,14557.6,265851572,18262,14557.6,1.000,1.000,265851783,18262,14557.6,1.000,1.000
finepdfs-edu-1.0.0,mlt_Latn,385500000,4.001,96357755,16490,5843.4,96357755,16490,5843.4,1.000,1.000,96357858,16490,5843.4,1.000,1.000
finepdfs-edu-1.0.0,nld_Latn,13817400000,2.824,4900246544,847361,5783.0,4892853147,845735,5785.3,0.998,0.998,4888258868,845510,5781.4,0.998,0.998
finepdfs-edu-1.0.0,nno_Latn,162450000,3.949,41136949,9718,4233.1,41136949,9718,4233.1,1.000,1.000,40649778,9703,4189.4,0.988,0.998
finepdfs-edu-1.0.0,nob_Latn,5122050000,3.942,1300940922,163254,7968.8,1299491545,162886,7977.9,0.999,0.998,1281536117,162405,7891.0,0.985,0.995
finepdfs-edu-1.0.0,pol_Latn,17227950000,2.292,7533696810,1001475,7522.6,7516070698,998243,7529.3,0.998,0.997,7500270948,998082,7514.7,0.996,0.997
finepdfs-edu-1.0.0,por_Latn,24285600000,1.893,12838655867,1269644,10112.0,12829687716,1266852,10127.2,0.999,0.998,12612207088,1263966,9978.3,0.982,0.996
finepdfs-edu-1.0.0,ron_Latn,7534950001,1.701,4438041427,328609,13505.5,4428717109,327077,13540.3,0.998,0.995,4405831074,326951,13475.5,0.993,0.995
finepdfs-edu-1.0.0,slk_Latn,7360050000,3.996,1842001862,228821,8050.0,1842001862,228821,8050.0,1.000,1.000,1840845741,228770,8046.7,0.999,1.000
finepdfs-edu-1.0.0,slv_Latn,2461800000,3.988,617331653,101931,6056.4,617331653,101931,6056.4,1.000,1.000,616268005,101894,6048.1,0.998,1.000
finepdfs-edu-1.0.0,spa_Latn,70437000000,2.476,28472950718,2820804,10093.9,28447816124,2814662,10107.0,0.999,0.998,27951123485,2806705,9958.7,0.982,0.995
finepdfs-edu-1.0.0,srp_Cyrl,4782600000,2.489,1921150029,97596,19684.7,1921150029,97596,19684.7,1.000,1.000,1915379995,97545,19635.9,0.997,0.999
finepdfs-edu-1.0.0,swe_Latn,8146350000,2.491,3274257693,432453,7571.4,3270033460,431490,7578.5,0.999,0.998,3269025201,431463,7576.6,0.998,0.998
finepdfs-edu-1.0.0,tur_Latn,9714300000,3.968,2447914948,185207,13217.2,2447914948,185207,13217.2,1.000,1.000,2430047170,185087,13129.2,0.993,0.999
finepdfs-edu-1.0.0,ukr_Cyrl,7588050000,1.586,4784078683,290072,16492.7,4784078683,290072,16492.7,1.000,1.000,4736384750,289707,16348.9,0.990,0.999
finephrase-0.0.0,,975087702000,2.000,487543850560,1353978711,360.1,,,,,,487155971928,1353048197,360.0,0.999,0.999
finewiki-0.0.0,bos_Latn,227700000,2.621,86941001,80394,1081.4,86865205,80342,1081.2,0.999,0.999,86403321,80175,1077.7,0.994,0.997
finewiki-0.0.0,bul_Cyrl,531000000,2.329,228451189,284820,802.1,227994431,284655,801.0,0.998,0.999,224725837,283178,793.6,0.984,0.994
finewiki-0.0.0,cat_Latn,1030050001,0.999,1031369865,962290,1071.8,1030836559,961922,1071.6,0.999,1.000,1015167597,958604,1059.0,0.984,0.996
finewiki-0.0.0,ces_Latn,701550000,1.294,542442901,534563,1014.7,542002187,534188,1014.6,0.999,0.999,537344692,532526,1009.0,0.991,0.996
finewiki-0.0.0,dan_Latn,511650000,2.654,192928229,291961,660.8,192803924,291812,660.7,0.999,0.999,187727268,289590,648.3,0.973,0.992
finewiki-0.0.0,deu_Latn,3966000000,1.087,3653342586,2713646,1346.3,3649077060,2712456,1345.3,0.999,1.000,3634597223,2708314,1342.0,0.995,0.998
finewiki-0.0.0,ell_Grek,538950000,1.547,349466649,242517,1441.0,348484282,242315,1438.1,0.997,0.999,340133873,240490,1414.3,0.973,0.992
finewiki-0.0.0,est_Latn,367950000,2.298,160189693,246948,648.7,160099678,246814,648.7,0.999,0.999,155630506,245678,633.5,0.972,0.995
finewiki-0.0.0,eus_Latn,134400000,0.581,231506256,454025,509.9,231407971,453576,510.2,1.000,0.999,224917894,450062,499.7,0.972,0.991
finewiki-0.0.0,fin_Latn,501900000,1.139,441226656,572900,770.2,440675755,572280,770.0,0.999,0.999,435374617,570352,763.3,0.987,0.996
finewiki-0.0.0,fra_Latn,4150950000,1.147,3629135314,2566183,1414.2,3617429052,2564940,1410.3,0.997,1.000,3603718703,2562878,1406.1,0.993,0.999
finewiki-0.0.0,gle_Latn,34800000,1.616,21560064,59536,362.1,21533112,59210,363.7,0.999,0.995,21275369,59072,360.2,0.987,0.992
finewiki-0.0.0,glg_Latn,118050000,0.643,183688450,213941,858.6,183620850,213714,859.2,1.000,0.999,179472312,212481,844.7,0.977,0.993
finewiki-0.0.0,hrv_Latn,477750000,3.034,157736010,196201,804.0,157482557,196015,803.4,0.998,0.999,152532014,194104,785.8,0.967,0.989
finewiki-0.0.0,hun_Latn,556200000,0.824,674991904,515004,1310.7,674761515,514846,1310.6,1.000,1.000,664795597,512728,1296.6,0.985,0.996
finewiki-0.0.0,isl_Latn,129300000,3.958,32813154,58659,559.4,32664456,58595,557.5,0.995,0.999,32329289,58387,553.7,0.985,0.995
finewiki-0.0.0,ita_Latn,1474650000,0.672,2195921533,1799759,1220.1,2194486683,1799081,1219.8,0.999,1.000,2188697066,1797875,1217.4,0.997,0.999
finewiki-0.0.0,lav_Latn,394500000,3.408,115826225,126614,914.8,115767421,126559,914.7,0.999,1.000,115767421,126559,914.7,0.999,1.000
finewiki-0.0.0,lit_Latn,469200000,3.488,134607170,201224,668.9,134530842,201121,668.9,0.999,0.999,132354475,199977,661.8,0.983,0.994
finewiki-0.0.0,mkd_Cyrl,168300000,1.145,147080939,152932,961.7,146958962,152750,962.1,0.999,0.999,145203340,152542,951.9,0.987,0.997
finewiki-0.0.0,mlt_Latn,42900000,2.348,18272912,7553,2419.3,18271481,7551,2419.7,1.000,1.000,18271481,7551,2419.7,1.000,1.000
finewiki-0.0.0,nld_Latn,924150000,0.806,1146368273,2072865,553.0,1145907703,2072535,552.9,1.000,1.000,1138741893,2069962,550.1,0.993,0.999
